team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.996,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,0.463,0.263,0.181,0.082,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN,0.294,0.321,0.256,0.097,0.024,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OKC,0.199,0.307,0.314,0.13,0.043,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAC,0.042,0.09,0.189,0.386,0.163,0.077,0.035,0.012,0.005,0.001,0.0,0.0,0.0,0.0,0.0
CLE,0.002,0.503,0.346,0.089,0.04,0.012,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIL,0.002,0.446,0.393,0.098,0.045,0.008,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHO,0.001,0.011,0.02,0.091,0.195,0.199,0.2,0.134,0.112,0.035,0.002,0.0,0.0,0.0,0.0
NOP,0.001,0.006,0.019,0.09,0.222,0.198,0.182,0.134,0.1,0.046,0.002,0.0,0.0,0.0,0.0
NYK,0.0,0.028,0.086,0.252,0.203,0.18,0.132,0.105,0.014,0.0,0.0,0.0,0.0,0.0,0.0
ORL,0.0,0.006,0.053,0.158,0.193,0.19,0.197,0.172,0.03,0.001,0.0,0.0,0.0,0.0,0.0
PHI,0.0,0.006,0.05,0.145,0.164,0.201,0.199,0.201,0.027,0.007,0.0,0.0,0.0,0.0,0.0
IND,0.0,0.004,0.025,0.097,0.151,0.197,0.237,0.239,0.047,0.002,0.001,0.0,0.0,0.0,0.0
MIA,0.0,0.003,0.047,0.16,0.201,0.202,0.192,0.179,0.013,0.003,0.0,0.0,0.0,0.0,0.0
SAC,0.0,0.002,0.008,0.059,0.129,0.174,0.184,0.175,0.155,0.102,0.011,0.001,0.0,0.0,0.0
DAL,0.0,0.0,0.01,0.043,0.13,0.175,0.161,0.19,0.162,0.118,0.01,0.001,0.0,0.0,0.0
LAL,0.0,0.0,0.003,0.007,0.037,0.059,0.111,0.185,0.235,0.333,0.027,0.003,0.0,0.0,0.0
GSW,0.0,0.0,0.0,0.015,0.047,0.105,0.124,0.167,0.222,0.286,0.031,0.002,0.001,0.0,0.0
CHI,0.0,0.0,0.0,0.001,0.003,0.01,0.031,0.08,0.593,0.216,0.058,0.008,0.0,0.0,0.0
ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.012,0.188,0.46,0.245,0.094,0.0,0.0,0.0
BRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.07,0.218,0.415,0.287,0.003,0.0,0.0
HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.007,0.043,0.48,0.406,0.061,0.0,0.0
TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.093,0.28,0.593,0.016,0.0,0.0
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.035,0.425,0.481,0.057,0.0,0.0
MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.012,0.105,0.853,0.026,0.003
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.018,0.905,0.072,0.004
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.024,0.83,0.145
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.381,0.58
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.547,0.416
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.144,0.852
