team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.81,0.153,0.025,0.009,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,0.612,0.212,0.084,0.036,0.029,0.013,0.006,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0
DEN,0.224,0.301,0.196,0.101,0.07,0.042,0.027,0.022,0.006,0.009,0.001,0.001,0.0,0.0,0.0
PHI,0.139,0.466,0.194,0.092,0.045,0.03,0.016,0.013,0.005,0.0,0.0,0.0,0.0,0.0,0.0
OKC,0.072,0.145,0.169,0.142,0.12,0.083,0.068,0.075,0.057,0.037,0.024,0.006,0.002,0.0,0.0
PHO,0.03,0.086,0.11,0.144,0.121,0.118,0.111,0.088,0.09,0.054,0.039,0.008,0.001,0.0,0.0
LAL,0.022,0.077,0.093,0.142,0.144,0.122,0.112,0.09,0.075,0.066,0.049,0.008,0.0,0.0,0.0
MIL,0.02,0.115,0.207,0.195,0.135,0.12,0.085,0.061,0.037,0.016,0.007,0.002,0.0,0.0,0.0
LAC,0.014,0.045,0.088,0.083,0.103,0.126,0.123,0.098,0.119,0.116,0.063,0.016,0.006,0.0,0.0
HOU,0.012,0.038,0.086,0.086,0.111,0.126,0.115,0.109,0.111,0.115,0.067,0.018,0.006,0.0,0.0
NYK,0.01,0.07,0.135,0.148,0.148,0.15,0.117,0.082,0.076,0.043,0.018,0.003,0.0,0.0,0.0
ORL,0.009,0.082,0.177,0.165,0.152,0.128,0.103,0.071,0.063,0.036,0.009,0.004,0.001,0.0,0.0
CLE,0.007,0.05,0.085,0.11,0.151,0.149,0.141,0.128,0.091,0.057,0.022,0.009,0.0,0.0,0.0
DAL,0.004,0.041,0.057,0.098,0.083,0.111,0.114,0.116,0.115,0.122,0.099,0.032,0.008,0.0,0.0
IND,0.004,0.03,0.076,0.117,0.13,0.123,0.126,0.145,0.112,0.08,0.041,0.015,0.001,0.0,0.0
SAC,0.004,0.029,0.059,0.068,0.08,0.11,0.126,0.119,0.109,0.12,0.127,0.04,0.007,0.002,0.0
GSW,0.004,0.011,0.038,0.062,0.077,0.082,0.101,0.137,0.132,0.142,0.153,0.042,0.017,0.002,0.0
NOP,0.002,0.015,0.02,0.037,0.06,0.061,0.089,0.119,0.153,0.151,0.197,0.077,0.018,0.001,0.0
MIA,0.001,0.024,0.056,0.104,0.113,0.128,0.157,0.144,0.118,0.092,0.05,0.013,0.0,0.0,0.0
BRK,0.0,0.006,0.028,0.039,0.059,0.088,0.111,0.143,0.16,0.176,0.14,0.047,0.003,0.0,0.0
ATL,0.0,0.003,0.016,0.019,0.048,0.058,0.101,0.116,0.152,0.231,0.161,0.087,0.007,0.001,0.0
CHI,0.0,0.001,0.0,0.0,0.002,0.001,0.005,0.022,0.053,0.093,0.23,0.484,0.093,0.013,0.003
TOR,0.0,0.0,0.001,0.002,0.015,0.024,0.038,0.075,0.13,0.174,0.301,0.207,0.031,0.002,0.0
MEM,0.0,0.0,0.0,0.001,0.0,0.002,0.005,0.004,0.012,0.03,0.081,0.331,0.381,0.135,0.018
UTA,0.0,0.0,0.0,0.0,0.002,0.004,0.003,0.017,0.019,0.037,0.098,0.382,0.347,0.076,0.015
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.019,0.114,0.658,0.167,0.037
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.021,0.134,0.446,0.397
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.018,0.073,0.338,0.57
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.01,0.133,0.46,0.396
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.073,0.357,0.564
