team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.691,0.153,0.073,0.03,0.024,0.011,0.006,0.007,0.003,0.001,0.001,0.0,0.0,0.0,0.0
BOS,0.683,0.241,0.055,0.013,0.007,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,0.249,0.43,0.183,0.074,0.031,0.021,0.007,0.002,0.002,0.0,0.0,0.0,0.001,0.0,0.0
GSW,0.088,0.184,0.168,0.148,0.115,0.082,0.063,0.056,0.027,0.038,0.02,0.006,0.002,0.003,0.0
DAL,0.049,0.145,0.146,0.146,0.097,0.098,0.096,0.066,0.055,0.044,0.034,0.019,0.003,0.002,0.0
NYK,0.046,0.17,0.291,0.216,0.121,0.083,0.04,0.018,0.007,0.004,0.002,0.0,0.002,0.0,0.0
HOU,0.043,0.097,0.122,0.113,0.118,0.111,0.071,0.092,0.075,0.058,0.052,0.029,0.015,0.004,0.0
DEN,0.031,0.082,0.114,0.103,0.105,0.115,0.095,0.096,0.086,0.068,0.06,0.028,0.01,0.006,0.001
MIN,0.03,0.108,0.095,0.095,0.112,0.083,0.11,0.096,0.091,0.071,0.053,0.035,0.013,0.007,0.001
LAL,0.025,0.078,0.079,0.094,0.097,0.107,0.125,0.101,0.091,0.081,0.051,0.049,0.016,0.003,0.003
MEM,0.016,0.062,0.065,0.089,0.097,0.104,0.102,0.111,0.112,0.095,0.069,0.045,0.026,0.007,0.0
SAC,0.013,0.033,0.038,0.071,0.075,0.105,0.108,0.104,0.123,0.103,0.104,0.068,0.039,0.014,0.002
ORL,0.01,0.085,0.181,0.21,0.19,0.137,0.073,0.056,0.034,0.014,0.007,0.003,0.0,0.0,0.0
PHO,0.008,0.043,0.073,0.069,0.098,0.089,0.122,0.1,0.106,0.116,0.078,0.046,0.041,0.01,0.001
IND,0.006,0.028,0.104,0.155,0.162,0.156,0.122,0.107,0.066,0.036,0.032,0.018,0.004,0.003,0.001
LAC,0.006,0.006,0.018,0.026,0.034,0.052,0.052,0.075,0.081,0.139,0.196,0.156,0.091,0.054,0.014
MIA,0.004,0.014,0.073,0.119,0.155,0.152,0.137,0.126,0.067,0.072,0.041,0.017,0.018,0.005,0.0
MIL,0.002,0.024,0.073,0.13,0.165,0.17,0.161,0.091,0.078,0.054,0.027,0.015,0.008,0.001,0.001
SAS,0.0,0.008,0.008,0.015,0.023,0.036,0.037,0.071,0.084,0.111,0.142,0.2,0.153,0.089,0.023
ATL,0.0,0.004,0.012,0.022,0.053,0.06,0.107,0.099,0.128,0.141,0.134,0.09,0.078,0.055,0.017
PHI,0.0,0.003,0.009,0.027,0.038,0.064,0.106,0.13,0.148,0.133,0.121,0.101,0.069,0.039,0.012
DET,0.0,0.001,0.009,0.014,0.021,0.049,0.082,0.108,0.115,0.144,0.129,0.144,0.097,0.059,0.028
POR,0.0,0.001,0.001,0.0,0.001,0.004,0.006,0.004,0.02,0.028,0.047,0.091,0.221,0.319,0.257
CHI,0.0,0.0,0.005,0.007,0.031,0.046,0.074,0.103,0.134,0.128,0.125,0.124,0.111,0.08,0.032
BRK,0.0,0.0,0.004,0.006,0.007,0.031,0.033,0.065,0.09,0.089,0.13,0.138,0.172,0.153,0.082
CHO,0.0,0.0,0.001,0.006,0.016,0.022,0.037,0.06,0.076,0.108,0.111,0.172,0.159,0.151,0.081
NOP,0.0,0.0,0.0,0.001,0.004,0.003,0.007,0.02,0.032,0.042,0.082,0.176,0.264,0.262,0.107
WAS,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.001,0.01,0.012,0.027,0.049,0.106,0.223,0.569
TOR,0.0,0.0,0.0,0.0,0.003,0.008,0.019,0.034,0.045,0.065,0.114,0.129,0.175,0.231,0.177
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.014,0.005,0.011,0.052,0.106,0.22,0.591
